state_abbr,county,offense,total_2023,latitude,longitude
WA,PACIFIC,Violent Crime,13.0,46.556587,-123.782419
TX,TYLER,Violent Crime,20.0,30.781633,-94.415375
GA,GREENE,Violent Crime,16.0,33.573967,-83.17531
ID,CLARK,Violent Crime,0.0,44.286251,-112.36112
OH,HAMILTON,Violent Crime,3266.5,39.137836,-84.71159
IN,HOWARD,Violent Crime,361.0,40.486435,-86.12997
WI,CHIPPEWA,Violent Crime,149.0,44.9403,-91.395706
TX,EASTLAND,Property Crime,186.0,32.324645,-98.83656
DE,NEW CASTLE,Violent Crime,2389.5,39.707096,-75.56667
NC,POLK,Violent Crime,31.0,35.277901,-82.167621
TN,ANDERSON,Violent Crime,241.0,36.099937,-84.13391
OH,FRANKLIN,Property Crime,23228.0,40.003437,-83.03224
AR,BRADLEY,Violent Crime,24.0,33.615875,-92.06316
KS,WICHITA,Violent Crime,1.0,38.481922,-101.347434
MO,JACKSON,Property Crime,20315.5,39.017525,-94.27792
KS,HARPER,Property Crime,47.0,37.153286,-98.029884
WA,ASOTIN,Violent Crime,51.0,46.181861,-117.227781
WY,NIOBRARA,Violent Crime,9.0,43.062159,-104.468373
GA,TOWNS,Property Crime,17.0,34.902662,-83.732215
MI,NEWAYGO,Property Crime,330.0,43.562709,-85.791423
IA,BOONE,Property Crime,135.5,42.038601,-93.939138
MI,NEWAYGO,Violent Crime,62.0,43.562709,-85.791423
AR,INDEPENDENCE,Violent Crime,207.0,35.771168,-91.65075
MD,CAROLINE,Property Crime,387.0,38.88757,-75.833626
NE,SHERMAN,Property Crime,8.0,41.218743,-98.972849
KY,MARSHALL,Violent Crime,21.0,36.85801,-88.35075
SC,JASPER,Property Crime,703.0,33.99802,-81.033936
WI,DOOR,Property Crime,116.0,45.067811,-87.087936
TX,BLANCO,Property Crime,58.0,30.265605,-98.399977
IL,WARREN,Property Crime,174.0,40.850441,-90.620223
CA,MARIPOSA,Violent Crime,100.0,37.570033,-119.91286
NY,LEWIS,Violent Crime,24.0,43.782681,-75.44414
FL,UNION,Violent Crime,0.0,30.05428,-82.366918
VA,BEDFORD,Property Crime,565.0,37.33405,-79.522026
GA,BALDWIN,Property Crime,1074.0,33.082405,-83.228714
OK,DEWEY,Violent Crime,4.0,35.978433,-99.014094
NY,BROOME,Property Crime,4339.0,42.161977,-75.830283
RI,NEWPORT,Violent Crime,100.0,41.64079,-71.185715
PA,PIKE,Violent Crime,62.0,41.325949,-75.031514
NE,SEWARD,Property Crime,89.0,40.871944,-97.140383
NH,CHESHIRE,Property Crime,862.0,42.925455,-72.248217
AR,MADISON,Property Crime,101.0,36.012545,-93.724053
NM,TAOS,Property Crime,360.0,36.409138,-105.57204
GA,GLASCOCK,Property Crime,19.0,33.227491,-82.606913
MA,PLYMOUTH,Property Crime,4757.0,41.987196,-70.741942
MN,LINCOLN,Property Crime,5.0,44.408238,-96.272032
SD,HUTCHINSON,Property Crime,7.0,43.33671,-97.749383
ID,POWER,Violent Crime,13.0,42.782623,-112.848564
AR,LEE,Violent Crime,28.0,34.774353,-90.756905
AZ,SANTA CRUZ,Violent Crime,62.0,31.346354,-110.930916
ID,LATAH,Property Crime,460.0,46.73173,-117.00105
KY,GRANT,Violent Crime,6.0,38.64921,-84.625946
KY,SPENCER,Violent Crime,7.0,38.024908,-85.316758
SD,BRULE,Property Crime,64.0,43.72988,-99.092941
