Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
416,City of Altus - (OK),OK,Municipal,63.2,34.6,0,219079,0,219079,201641,0,7101,0,10337,219079,21276.5,0.0,0.0,0.0,0.0,0.0,219079,11412.7,90203.0,8025.0,8285.2,70570.0,1213.0,1578.6,40868.0,2.0,0.0,0.0,0.0,21276.5,201641.0,9240.0,2015
471,Amana Society Service Co,IA,Investor Owned,16.0,14.0,1258,92688,0,93946,92402,0,0,0,1544,93946,7942.0,0.0,0.0,0.0,0.0,75.0,93946,895.0,7096.0,705.0,943.0,8465.0,180.0,6104.0,76841.0,1.0,0.0,0.0,0.0,7942.0,92402.0,886.0,2015
540,BP Energy Company,TX,Retail Power Marketer,13.0,13.0,0,917575,0,917575,917575,0,0,0,0,917575,30109.0,0.0,0.0,0.0,0.0,0.0,917575,0.0,0.0,0.0,0.0,0.0,0.0,25742.0,868927.0,3.0,0.0,0.0,0.0,25742.0,868927.0,3.0,2015
540,BP Energy Company,TX,Retail Power Marketer,13.0,13.0,0,917575,0,917575,917575,0,0,0,0,917575,30109.0,0.0,0.0,0.0,0.0,0.0,917575,0.0,0.0,0.0,0.0,0.0,0.0,4367.0,48648.0,2.0,0.0,0.0,0.0,4367.0,48648.0,2.0,2015
554,City of Ames - (IA),IA,Municipal,148.9,108.8,249043,481987,0,720824,632570,73755,0,379,14120,720824,54324.0,0.0,2262.9,0.0,712.0,3479.9,720824,18158.5,161502.0,22810.0,26021.0,331119.0,2883.0,10144.5,139949.0,6.0,0.0,0.0,0.0,54324.0,632570.0,25699.0,2015
560,City of Amherst- (OH),OH,Municipal,28.0,19.0,0,112284,0,112284,104351,0,0,0,7933,112284,10546.0,0.0,0.0,0.0,0.0,0.0,112284,5644.0,56044.0,5372.0,1605.0,14098.0,506.0,3297.0,34209.0,70.0,0.0,0.0,0.0,10546.0,104351.0,5948.0,2015
562,Amicalola Electric Member Corp,GA,Cooperative,177.4,231.6,0,751012,0,751012,728343,0,0,960,21709,751012,82618.0,0.0,0.0,0.0,0.0,7620.0,751012,69002.0,617022.0,42453.0,13616.0,111321.0,4573.0,0.0,0.0,0.0,0.0,0.0,0.0,82618.0,728343.0,47026.0,2015
571,City of Amory,MS,Municipal,31.6,26.0,0,142753,0,142753,139296,0,0,0,3457,142753,13629.0,0.0,0.0,0.0,0.0,309.0,142753,4103.0,40157.0,2961.0,6271.0,57952.0,1079.0,3255.0,41187.0,3.0,0.0,0.0,0.0,13629.0,139296.0,4043.0,2015
577,City of Alcoa Utilities,TN,Municipal,135.6,188.3,0,641673,0,641673,620750,0,0,15,20908,641673,63177.0,0.0,0.0,0.0,0.0,1262.0,641673,38449.0,378415.0,24121.0,24592.0,241298.0,4330.0,136.0,1037.0,1.0,0.0,0.0,0.0,63177.0,620750.0,28452.0,2015
590,City of Anaheim - (CA),CA,Municipal,584.0,358.0,313786,3110488,0,3424274,2414146,908075,0,0,102053,3424274,341471.0,0.0,17465.0,0.0,30988.0,2969.0,3424274,92855.0,613935.0,108257.0,121215.0,783138.0,14922.0,127401.0,1017073.0,306.0,0.0,0.0,0.0,341471.0,2414146.0,123485.0,2015
