Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
733,Appalachian Power Co,OH,Investor Owned,5503.0,6521.0,21625273,12114712,0,33739985,26094403,5600008,687,0,2044887,33739985,2431974.0,557.0,253242.0,-4671.0,123846.0,52299.0,33739985,651825.0,6027445.0,456500.0,302655.0,3559229.0,78599.0,301987.0,4625700.0,1956.0,0.0,0.0,0.0,1256467.0,14212374.0,537055.0,2020
733,Appalachian Power Co,OH,Investor Owned,5503.0,6521.0,21625273,12114712,0,33739985,26094403,5600008,687,0,2044887,33739985,2431974.0,557.0,253242.0,-4671.0,123846.0,52299.0,33739985,621183.0,4887948.0,354340.0,292716.0,3078799.0,66462.0,261608.0,3915282.0,2248.0,0.0,0.0,0.0,1175507.0,11882029.0,423050.0,2020
733,Appalachian Power Co,OH,Investor Owned,5503.0,6521.0,21625273,12114712,0,33739985,26094403,5600008,687,0,2044887,33739985,2431974.0,557.0,253242.0,-4671.0,123846.0,52299.0,33739985,0.0,0.0,0.0,362.0,42536.0,51.0,195.0,332375.0,6.0,0.0,0.0,0.0,557.0,374911.0,57.0,2020
750,Arab Electric Coop Inc,AL,Cooperative,69.0,75.0,0,319998,0,319998,293501,0,0,377,26120,319998,31773.0,0.0,0.0,0.0,0.0,1055.7,319998,20347.0,187704.0,13090.0,11224.0,102935.0,2752.0,202.0,2862.0,1.0,0.0,0.0,0.0,31773.0,293501.0,15843.0,2020
796,Arizona Electric Pwr Coop Inc,AZ,Cooperative,781.5,394.3,2211730,1595620,0,3769134,200797,3451303,0,0,117034,3769134,5524.0,0.0,143794.0,0.0,22173.0,6930.0,3769134,0.0,0.0,0.0,5524.0,200797.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5524.0,200797.0,1.0,2020
798,Arizona Power Authority,AZ,State,401.0,337.4,0,1266632,0,1266632,0,1266632,0,0,0,1266632,0.0,0.0,39790.5,0.0,0.0,0.0,1266632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
803,Arizona Public Service Co,AZ,Investor Owned,7659.0,4368.0,26677771,7598416,0,34228319,29344407,3088308,0,65576,1730028,34228319,3439273.7,0.0,102794.0,7758.9,66157.4,0.0,34228319,1953176.3,14747876.0,1150194.0,1317102.6,12347971.0,135278.0,168994.8,2248560.0,3231.0,0.0,0.0,0.0,3439273.7,29344407.0,1288703.0,2020
807,Arkansas Electric Coop Corp,AR,Cooperative,2802.0,2492.0,7026114,8519776,0,15543702,0,15418476,0,0,125226,15543702,0.0,0.0,721461.6,0.0,18534.6,2547.4,15543702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
814,Entergy Arkansas LLC,AR,Investor Owned,4582.0,3410.0,24434101,3638001,0,28072102,20748189,5856219,0,58781,1408913,28072102,1781021.2,0.0,173115.3,-631.9,99512.4,25268.4,28072102,838064.7,7583717.0,598506.0,482495.4,5578749.0,96291.0,460448.5,7585640.0,23481.0,5.5,39.0,1.0,1781014.1,20748145.0,718279.0,2020
814,Entergy Arkansas LLC,AR,Investor Owned,4582.0,3410.0,24434101,3638001,0,28072102,20748189,5856219,0,58781,1408913,28072102,1781021.2,0.0,173115.3,-631.9,99512.4,25268.4,28072102,1.7,16.0,1.0,3.6,23.0,3.0,1.8,5.0,3.0,0.0,0.0,0.0,7.1,44.0,7.0,2020
